Bed;1369745476660;REM
Bed;1369746076660;N1
Bed;1369746376660;N2
Bed;1369746976660;N3
Bed;1369747276660;N4
Bed;1369750276660;REM
Bed;1369752076660;N2
Bed;1369753276660;N3
Bed;1369754176660;N4
Bed;1369755976660;N1
Bed;1369756576660;REM
Bed;1369758676660;N2
Bed;1369759276660;N4
Bed;1369760476660;N3
Bed;1369762276660;N2
Bed;1369762876660;N1
Bed;1369766176660;N2
Bed;1369768876660;N1
Alarm;1369770676660;Wecker;Aufstehen
Bed;1369770676660;WACH
Ubisense;1369770766660;9.73;5.46
Ubisense;1369770767659;9.42;5.58
Ubisense;1369770768362;9.11;5.41
Ubisense;1369770769185;8.97;5.1
Ubisense;1369770769999;8.92;4.79
Ubisense;1369770770612;8.89;4.46
Ubisense;1369770770854;8.83;4.15
Ubisense;1369770771347;8.83;3.84
Ubisense;1369770771960;8.78;3.53
Ubisense;1369770772498;8.64;3.23
Ubisense;1369770772935;8.33;3.06
Ubisense;1369770773547;8.02;3.03
Ubisense;1369770774176;7.71;2.98
Ubisense;1369770775112;7.41;2.98
Ubisense;1369770775995;7.1;3.12
Ubisense;1369770776718;6.79;3.37
Ubisense;1369770777351;6.54;3.67
Ubisense;1369770777872;6.48;3.98
Ubisense;1369770778470;6.51;4.29
Ubisense;1369770778645;6.54;4.6
Ubisense;1369770778827;6.65;4.93
Ubisense;1369770779112;6.71;5.24
Ubisense;1369770779491;6.76;5.55
Ubisense;1369770780098;6.79;5.86
Ubisense;1369770780692;6.87;6.16
Ubisense;1369770780978;7.01;6.47
Ubisense;1369770781075;7.18;6.83
Ubisense;1369770782730;7.32;7.14
Ubisense;1369770783297;7.63;7.11
Ubisense;1369770783655;7.94;7.11
Ubisense;1369770784076;8.27;7.09
Ubisense;1369770784637;8.58;7.06
Ubisense;1369770785142;8.92;7.06
Ubisense;1369770785680;9.25;7.06
Ubisense;1369770786434;9.59;7.25
Ubisense;1369770787151;9.73;7.56
Ubisense;1369770789012;9.87;7.87
Ubisense;1369770789582;10.17;7.7
Water;1369770976660;BATH_TOILET_COLD;ON
Ubisense;1369770976660;10.45;7.9
Ubisense;1369770977660;9.75;7.92
Ubisense;1369770978446;9.2;7.93
Water;1369770986660;BATH_TOILET_COLD;OFF
Water;1369770991660;BATH_SINK_COLD;ON
Water;1369770996660;BATH_SINK_COLD;OFF
Power;1369771006660;RASIERER;ON
Power;1369771051660;RASIERER;OFF
Ubisense;1369771056660;9.2;7.93
Water;1369771076660;BATH_SHOWER_COLD;ON
Water;1369771076660;BATH_SHOWER_HOT;ON
Water;1369771396660;BATH_SHOWER_HOT;OFF
Water;1369771396660;BATH_SHOWER_COLD;OFF
Storage;1369771411660;BATH_TOWELRACK;OBJECT_TAKEN
Storage;1369771456660;BATH_TOWELRACK;OBJECT_PUT
Ubisense;1369771461660;7.88;8.15
Ubisense;1369771462119;8.19;7.84
Ubisense;1369771462888;8.41;7.53
Ubisense;1369771464368;8.24;7.23
Ubisense;1369771464948;7.94;7.09
Ubisense;1369771465436;7.63;7.09
Ubisense;1369771466098;7.32;7.09
Ubisense;1369771467342;7.01;7.09
Ubisense;1369771467821;6.93;6.75
Ubisense;1369771468014;6.87;6.44
Ubisense;1369771468264;6.85;6.11
Ubisense;1369771468776;6.82;5.8
Ubisense;1369771468970;6.82;5.49
Ubisense;1369771469215;6.82;5.16
Ubisense;1369771469521;6.87;4.85
Ubisense;1369771470196;6.93;4.54
Ubisense;1369771470555;6.93;4.23
Ubisense;1369771471058;6.93;3.9
Ubisense;1369771471282;6.96;3.59
Ubisense;1369771471428;6.99;3.28
Ubisense;1369771472180;7.01;2.98
Ubisense;1369771472383;7.07;2.64
Ubisense;1369771472552;7.13;2.33
Ubisense;1369771472912;7.24;2.02
Ubisense;1369771473280;7.52;1.72
